user_id,Paradero (Mañana),Paradero(Noche)
7a48a0b8-967c-4b3b-9ada-ee9e775934e1,5.0,5.0
8622d57b-efed-4ddc-af26-9b1195bdb37b,13.0,13.0
4661e58f-c94d-4d94-ba91-02440eeea526,6.0,6.0
4f1c1614-5faa-419e-9fdd-c4064e40ca01,15.0,15.0
af999f9d-5e36-43a4-bc86-304ec3934896,7.0,7.0
3866f591-ea2d-4ec2-9c7e-7f972a68c6f4,16.0,16.0
58273980-562f-4379-b759-a80f67a980e4,7.0,7.0
5d2a4a19-6680-453c-946d-5c602a06e861,4.0,4.0
09f6f1d7-aeac-485d-9867-e883980ea8cc,7.0,7.0
72b4f10e-39fa-4ffc-923d-d0811d1ba2ec,7.0,18.0
8e954273-0728-4d0e-9e92-c0c92a8d87e3,3.0,3.0
ad89c01a-7329-436b-b985-d4b92d3639e8,3.0,3.0
c4534ee4-8a6b-4102-8c6b-06d8f5a0e598,7.0,7.0
6bcd70b2-104c-497a-b5dd-88d38a69f2ec,6.0,18.0
5c20b8a1-d466-4e07-9f14-2ba4bdc30f77,4.0,4.0
17942bee-1ad8-4ee6-9599-17dadf21a42a,7.0,7.0
51d5f039-74f2-4feb-bdec-b486d06ad242,12.0,12.0
7af1b07b-ae89-4cfd-8e96-434233a9e4cf,12.0,3.0
20f4321b-bdde-4e85-99ef-cc3da35fc439,3.0,3.0
acee55b7-124b-4e68-b5fb-e1f65d66c99a,9.0,9.0
0a06bd1a-e77c-48fa-a4ec-467ccf73739d,3.0,3.0
233a346e-e457-42e1-bd6d-3641d8e7bee7,3.0,3.0
e66818cf-068e-4611-a540-90b7ce67054a,6.0,18.0
18412007-3c67-4cb8-b006-bbc209f2d732,7.0,7.0
4ff1b305-2e5f-48a9-9a0c-db08024c5a11,4.0,4.0
e9045fd8-57f9-4cc1-bd7f-8a966f7e60a3,6.0,18.0
21a2e27b-7559-401f-8ff8-c214cf90f6b1,14.0,14.0
83926b1a-c213-482b-8ed5-e5fa92823147,6.0,6.0
c9ca2c28-508e-422c-998a-aa9519683f3f,3.0,3.0
9af1dd2c-4f49-4834-93df-8eae06d034fd,3.0,3.0
e2e16384-a0d7-49c5-8ac2-82d4fe27cbd9,9.0,9.0
85cabe0e-9965-4ee9-8e13-bd92f100d459,9.0,9.0
9f80b964-aa2b-4dc0-9c43-43ba80b4eab4,6.0,18.0
21da429b-390a-48eb-9c5b-74dd6550bc05,12.0,12.0
5703c47f-be45-4c37-a10c-01648511cc33,16.0,16.0
0c9d083a-68e1-4e30-91fa-40183cd7950b,4.0,4.0
30b1c87a-7ecb-4928-ae2d-f2325da4a5b9,7.0,7.0
1e88fff4-b8e3-4984-8b85-a24dedb62a71,11.0,11.0
d73ca1b1-50de-4dc9-a66c-0042359173fe,11.0,1.0
1f64c0fb-51c9-42f4-87db-2e3d70bc49a9,12.0,12.0
da0919f2-d910-479b-a407-4d74c019a450,12.0,18.0
903d37d1-034d-4176-a9d7-5fc2f044a375,11.0,11.0
79d5af4f-a227-4672-b174-760ba301278b,3.0,3.0
8b2604b6-700d-4eb2-9568-ea8b04af47ba,12.0,12.0
e31b810d-3db2-4d9e-8037-d6552bdf9a32,7.0,7.0
c26defbe-afed-4cf1-ab6e-3f248741d8e9,4.0,4.0
b039ae6a-665d-4195-b5c0-2ecadb423086,4.0,4.0
fd52f3e3-25ea-4b0f-90d8-9bdb3f8de65d,3.0,3.0
d586e209-7bb8-4743-9b79-e441421375ae,11.0,11.0
7b7762eb-3229-44fd-b0e4-2cd29beed958,9.0,9.0
cf1aff31-c9a7-4043-82b3-b1e9dcc57365,8.0,8.0
77ff66dd-f944-40d6-85f1-9ba99c457c9d,7.0,7.0
1db22ffc-9f5b-4953-b00d-b1e839defda7,4.0,4.0
fd0c83c5-3d6c-4ac9-a7c6-f365a08b199c,8.0,8.0
3e7242ef-b510-4bee-8d72-0543ffe9f978,5.0,5.0
ec30b81a-7e7a-4fe1-90cd-1cd01cba048c,8.0,8.0
01c0e27f-2a3a-4e81-8545-3f8c86cc0af0,7.0,7.0
458d1d44-2a6e-4a41-85b1-a30fa2dec95d,6.0,18.0
554cdf2b-18cb-482e-810c-0ad0635491c8,1.0,1.0
1461dd5a-b8c3-4ace-810e-5d591f39bbe2,6.0,18.0
c5401325-306d-4aa7-bf1d-044ee9548b21,6.0,18.0
82213557-ecfe-4ce1-a646-5fc66cefea0c,7.0,7.0
8572e66b-2516-44e5-aa49-10c93a440700,6.0,18.0
dce94f1e-5de6-44ac-94b9-c1b577bb0585,7.0,7.0
9fc21ff0-a00d-4208-b89e-f70fed87543a,11.0,11.0
7de60a28-a39d-439e-a280-ac2ec43760e0,7.0,7.0
fd36486c-caa6-4d65-8538-016dd7a70b7f,7.0,7.0
813481f4-a26c-420d-a5b9-f1b8d8bb8181,11.0,11.0
4b17f7bf-7ec3-4648-96c1-470a1ad5e04c,1.0,1.0
c82aa8a4-01de-45f1-9675-624a919dc88c,3.0,3.0
208c5915-3bdb-42cb-b6b2-ff30fb7e5f2b,8.0,8.0
d25e021d-5257-4e01-a13f-f86c827af977,11.0,11.0
0ba66ce8-c00c-4c2f-ae69-95684eaf7689,3.0,3.0
85cbdfdc-2d04-4c7b-843f-ebc282dfb1ab,6.0,6.0
163749d8-b857-4458-9dd3-6fa50a3d0cd8,,18.0
d190286b-2eee-4a77-b40d-99f63b7b91d2,6.0,18.0
5da5cff3-e632-4275-97eb-4e3e9d1399c7,6.0,6.0
9efa2fe8-4850-4f69-8626-5248fa633e27,17.0,17.0
44e5c910-9d06-465b-bae1-f3e8b1c0a158,7.0,7.0
4f830bbc-2f2d-48e1-ac7c-d1438b117056,4.0,4.0
b8bafbf0-527f-4001-817f-79fbbee9f2fa,11.0,11.0
6595850d-36af-4d29-8778-5b00e7053058,7.0,7.0
e0029e38-9e49-4be8-9a53-0ac126e5929f,1.0,1.0
7b6f6df1-6661-41b0-a03d-55bdd22740c1,6.0,6.0
cdc6c706-3ab6-4f78-8e19-7ccf4ec917bc,5.0,5.0
bc6e2f21-9594-42da-94d0-4b9515ddfc65,4.0,4.0
330d7390-c157-4e40-9f8d-4ddbc6366011,,18.0
cb0b0560-9ab8-4b11-bd05-6bd6d174e8b2,,13.0
010b906e-a724-4bb1-ac6c-8148b796b30b,3.0,3.0
ed5dfdff-5217-472f-815d-58ea76fb56d3,7.0,7.0
4b6becd0-e799-4126-9efa-f711e0ed39ad,,
1b0a2716-4a97-485b-ad6a-5ddb908b8624,5.0,5.0
1e06eb7f-b164-4159-9b56-3a8a6c18a652,6.0,18.0
03eec4e8-4dff-4510-a3e9-3e27b366f87a,7.0,7.0
a067cc7c-0db9-46e4-ad93-aeb1ab60b14d,6.0,18.0
08654a43-6c07-410b-8e93-96ae5f08ea06,4.0,4.0
4b4d56b6-4305-4e49-b57a-5d830b568ded,5.0,21.0
b1102768-93cd-489e-b5c8-6fe78eb9a550,5.0,5.0
00f7a92b-cb99-425a-b7d3-cbb433367b8c,8.0,8.0
884c5535-04c7-489b-b6e7-79c21fe50350,1.0,6.0
ade9e6bc-1de3-434e-ace1-6d81e1766bbf,6.0,18.0
15b8e328-bb97-4214-9c93-24410ea3161e,9.0,9.0
c73361fb-a82d-4ea9-9f2f-da5bd87d4a2a,3.0,3.0
2382fc4f-3a83-4e4c-82b6-546515b94ed6,5.0,5.0
02c04c98-8011-4a08-9591-b8641447b387,12.0,12.0
68b733c7-91d9-4970-af7b-d0c22f5d612a,3.0,3.0
9bffd7fd-a613-4961-b828-7750fb0134fd,1.0,1.0
601bed0f-d5cc-430f-8ea0-8bc0f74f968e,12.0,12.0
c0250b16-08f1-41dc-9b13-3b2bac9bb369,12.0,12.0
1225ca33-ad7e-4d43-a333-d2ca7daa8100,4.0,4.0
